IDResposta;NRPeso;NOAtributoQuestionario
35943;0;N1
35943;0;N1
48782;0;N1
48782;0;N1
35867;0;N1
35867;0;N1
39569;6,440173894;N3
39569;6,440173894;N3
45051;6,440173894;N3
45051;6,440173894;N3
35807;6,440173894;N3
35807;6,440173894;N3
36039;6,440173894;N3
44381;6,440173894;N3
44381;6,440173894;N3
44381;6,440173894;N3
45223;6,440173894;N3
45223;6,440173894;N3
38042;6,440173894;N3
38042;6,440173894;N3
36039;6,440173894;N3
44772;6,440173894;N3
44772;6,440173894;N3
39708;6,440173894;N3
39481;6,440173894;N3
39481;6,440173894;N3
44381;6,440173894;N3
40578;6,440173894;N3
40578;6,440173894;N3
37629;6,440173894;N3
37629;6,440173894;N3
38321;6,440173894;N3
38321;6,440173894;N3
35928;6,440173894;N3
35928;6,440173894;N3
41272;6,440173894;N3
41272;6,440173894;N3
42888;6,440173894;N3
42888;6,440173894;N3
35868;6,440173894;N3
35868;6,440173894;N3
51690;6,440173894;N3
51690;6,440173894;N3
35715;6,440173894;N3
35715;6,440173894;N3
50025;6,440173894;N3
50025;6,440173894;N3
39417;6,440173894;N3
39417;6,440173894;N3
35637;6,440173894;N3
35637;6,440173894;N3
36975;6,440173894;N3
36975;6,440173894;N3
35945;6,440173894;N3
35945;6,440173894;N3
35945;6,440173894;N3
35945;6,440173894;N3
35807;6,440173894;N3
35807;6,440173894;N3
35807;6,440173894;N3
35807;6,440173894;N3
50025;6,440173894;N3
50025;6,440173894;N3
51775;1,697192185;N2
51775;1,697192185;N2
42010;0;N1
42010;0;N1
42010;0;N1
42010;0;N1
42010;0;N1
42010;0;N1
44895;0;N1
44895;0;N1
52039;0;N1
52039;0;N1
36981;1,965496457;N3
36981;1,965496457;N3
35949;1,965496457;N3
35949;1,965496457;N3
35949;1,965496457;N3
35949;1,965496457;N3
38051;1,965496457;N3
38051;1,965496457;N3
38025;1,965496457;N3
38025;1,965496457;N3
44542;1,965496457;N3
44542;1,965496457;N3
44898;1,965496457;N3
44898;1,965496457;N3
39486;1,965496457;N3
39486;1,965496457;N3
45473;1,965496457;N3
45473;1,965496457;N3
35930;1,965496457;N3
35930;1,965496457;N3
38324;1,965496457;N3
38324;1,965496457;N3
42788;0,517971297;N2
42788;0,517971297;N2
43345;0,517971297;N2
43345;0,517971297;N2
38900;0,517971297;N2
38900;0,517971297;N2
36041;0,517971297;N2
36041;0,517971297;N2
39571;0;N1
39571;0;N1
45053;0;N1
45053;0;N1
36492;0;N1
36492;0;N1
45226;0;N1
44405;0;N1
44405;0;N1
38584;0;N1
38584;0;N1
39760;0;N1
44405;0;N1
44405;0;N1
45226;0;N1
35873;0;N1
35873;0;N1
38542;0;N1
38542;0;N1
35716;0;N1
35716;0;N1
42011;0;N1
42011;0;N1
39941;0;N1
39941;0;N1
35593;0;N1
35593;0;N1
49960;0;N1
49960;0;N1
42011;0;N1
42011;0;N1
49960;0;N1
49960;0;N1
36492;0;N1
36492;0;N1
36492;0;N1
36492;0;N1
42011;0;N1
42011;0;N1
36042;13,15768092;N5
36042;13,15768092;N5
35717;13,15768092;N5
35717;13,15768092;N5
42866;13,15768092;N5
42866;13,15768092;N5
38544;13,15768092;N5
38544;13,15768092;N5
39572;7,580995149;N4
39572;7,580995149;N4
40638;7,580995149;N4
40638;7,580995149;N4
40638;7,580995149;N4
40638;7,580995149;N4
45230;7,580995149;N4
45230;7,580995149;N4
44406;7,580995149;N4
44406;7,580995149;N4
51968;7,580995149;N4
51968;7,580995149;N4
38658;7,580995149;N4
38658;7,580995149;N4
44406;7,580995149;N4
44406;7,580995149;N4
35874;7,580995149;N4
35874;7,580995149;N4
51776;7,580995149;N4
51776;7,580995149;N4
35931;7,580995149;N4
35931;7,580995149;N4
45054;4,164002384;N3
45054;4,164002384;N3
37773;4,164002384;N3
37773;4,164002384;N3
52046;4,164002384;N3
52046;4,164002384;N3
39960;4,164002384;N3
39960;4,164002384;N3
51716;4,164002384;N3
51716;4,164002384;N3
51615;1,205075837;N2
51615;1,205075837;N2
51615;1,205075837;N2
51615;1,205075837;N2
51615;1,205075837;N2
51615;1,205075837;N2
52027;1,205075837;N2
52027;1,205075837;N2
38028;1,205075837;N2
38028;1,205075837;N2
35988;1,205075837;N2
35988;1,205075837;N2
35988;1,205075837;N2
35988;1,205075837;N2
51947;1,205075837;N2
51947;1,205075837;N2
48786;0;N1
48786;0;N1
48786;0;N1
48786;0;N1
48786;0;N1
48786;0;N1
51966;0;N1
51891;0;N1
51891;0;N1
51945;0;N1
51945;0;N1
51423;0;N1
51966;0;N1
39577;4,404092577;N5
39577;4,404092577;N5
45058;4,404092577;N5
45058;4,404092577;N5
51618;4,404092577;N5
51618;4,404092577;N5
45151;4,404092577;N5
38064;4,404092577;N5
38030;4,404092577;N5
38030;4,404092577;N5
36048;4,404092577;N5
36048;4,404092577;N5
45151;4,404092577;N5
39496;4,404092577;N5
45151;4,404092577;N5
45151;4,404092577;N5
45235;4,404092577;N5
45235;4,404092577;N5
38064;4,404092577;N5
44758;4,404092577;N5
44758;4,404092577;N5
39768;4,404092577;N5
44983;4,404092577;N5
44983;4,404092577;N5
39496;4,404092577;N5
38911;4,404092577;N5
38911;4,404092577;N5
37640;4,404092577;N5
37640;4,404092577;N5
38329;4,404092577;N5
38329;4,404092577;N5
35940;4,404092577;N5
35940;4,404092577;N5
42898;4,404092577;N5
42898;4,404092577;N5
38021;4,404092577;N5
38021;4,404092577;N5
45478;4,404092577;N5
45478;4,404092577;N5
38547;4,404092577;N5
38547;4,404092577;N5
35723;4,404092577;N5
35723;4,404092577;N5
39427;4,404092577;N5
39427;4,404092577;N5
35599;4,404092577;N5
35599;4,404092577;N5
35879;4,404092577;N5
35879;4,404092577;N5
51732;4,404092577;N5
51732;4,404092577;N5
40675;4,404092577;N5
40675;4,404092577;N5
42016;4,404092577;N5
42016;4,404092577;N5
40675;4,404092577;N5
40675;4,404092577;N5
51732;4,404092577;N5
51732;4,404092577;N5
42016;4,404092577;N5
42016;4,404092577;N5
51618;4,404092577;N5
51618;4,404092577;N5
51618;4,404092577;N5
51618;4,404092577;N5
42016;4,404092577;N5
42016;4,404092577;N5
52066;0,191263223;N2
52066;0,191263223;N2
35644;11,0549169;N5
35644;11,0549169;N5
35880;11,0549169;N5
35880;11,0549169;N5
45489;11,0549169;N5
45489;11,0549169;N5
38548;11,0549169;N5
38548;11,0549169;N5
35944;6,369456131;N4
35944;6,369456131;N4
36055;6,369456131;N4
36055;6,369456131;N4
39997;3,498542077;N3
39997;3,498542077;N3
35724;3,498542077;N3
35724;3,498542077;N3
43033;3,498542077;N3
43033;3,498542077;N3
51932;3,498542077;N3
51932;3,498542077;N3
45059;1,01248946;N2
45059;1,01248946;N2
42017;1,01248946;N2
42017;1,01248946;N2
42017;1,01248946;N2
42017;1,01248946;N2
42017;1,01248946;N2
42017;1,01248946;N2
51892;1,01248946;N2
51892;1,01248946;N2
39578;0;N1
39578;0;N1
51619;0;N1
51619;0;N1
51619;0;N1
51619;0;N1
38036;0;N1
44414;0;N1
44414;0;N1
44414;0;N1
45238;0;N1
45238;0;N1
52050;0;N1
52050;0;N1
38036;0;N1
51430;0;N1
52028;0;N1
52028;0;N1
39498;0;N1
39498;0;N1
44414;0;N1
37638;0;N1
37638;0;N1
38337;0;N1
38337;0;N1
44561;0;N1
44561;0;N1
38180;0;N1
38180;0;N1
38180;0;N1
38180;0;N1
40678;0;N1
40678;0;N1
51619;0;N1
51619;0;N1
40678;0;N1
40678;0;N1
37007;0;N1
37007;0;N1
39579;1,773439708;N3
39579;1,773439708;N3
45060;1,773439708;N3
45060;1,773439708;N3
42019;1,773439708;N3
42019;1,773439708;N3
38076;1,773439708;N3
38076;1,773439708;N3
36051;1,773439708;N3
36051;1,773439708;N3
37834;1,773439708;N3
37834;1,773439708;N3
39499;1,773439708;N3
39499;1,773439708;N3
42019;1,773439708;N3
42019;1,773439708;N3
38550;1,773439708;N3
38550;1,773439708;N3
35727;1,773439708;N3
35727;1,773439708;N3
49961;1,773439708;N3
49961;1,773439708;N3
42019;1,773439708;N3
42019;1,773439708;N3
49961;1,773439708;N3
49961;1,773439708;N3
38246;0,65;"N2 "
38246;0,65;"N2 "
38246;0,65;"N2 "
38246;0,65;"N2 "
39979;0,65;"N2 "
39979;0,65;"N2 "
44415;0,65;"N2 "
44415;0,65;"N2 "
45244;0,65;"N2 "
45244;0,65;"N2 "
36058;0,65;"N2 "
36058;0,65;"N2 "
35605;0,65;"N2 "
35605;0,65;"N2 "
35885;0,65;"N2 "
35885;0,65;"N2 "
45537;0,65;"N2 "
45537;0,65;"N2 "
36517;0;N1
36517;0;N1
36517;0;N1
36517;0;N1
36517;0;N1
36517;0;N1
44415;0;N1
51427;0;N1
52029;0;N1
52029;0;N1
52041;0;N1
52041;0;N1
44415;0;N1
38664;0;N1
38664;0;N1
51580;0;N1
51580;0;N1
51484;0;N1
51484;0;N1
48384;0;N1
48384;0;N1
43040;0;N1
43040;0;N1
51893;0;N1
51893;0;N1
38080;0,53062068;N3
38080;0,53062068;N3
36060;0,53062068;N3
36060;0,53062068;N3
43049;0,193079303;N2
43049;0,193079303;N2
39583;0;N1
39583;0;N1
45061;0;N1
45061;0;N1
36476;0;N1
36476;0;N1
52042;0;N1
44416;0;N1
44416;0;N1
39503;0;N1
44416;0;N1
44416;0;N1
45254;0;N1
45254;0;N1
52042;0;N1
44562;0;N1
44562;0;N1
39789;0;N1
44920;0;N1
44920;0;N1
39503;0;N1
37841;0;N1
37841;0;N1
37634;0;N1
37634;0;N1
38350;0;N1
38350;0;N1
35731;0;N1
35731;0;N1
35954;0;N1
35954;0;N1
38031;0;N1
38031;0;N1
35888;0;N1
35888;0;N1
45495;0;N1
45495;0;N1
38552;0;N1
38552;0;N1
42028;0;N1
42028;0;N1
39619;0;N1
39619;0;N1
35609;0;N1
35609;0;N1
42028;0;N1
42028;0;N1
38373;0;N1
38373;0;N1
38645;0;N1
38645;0;N1
38645;0;N1
38645;0;N1
37013;0;N1
37013;0;N1
38373;0;N1
38373;0;N1
36476;0;N1
36476;0;N1
36476;0;N1
36476;0;N1
42028;0;N1
42028;0;N1
36518;0,211685277;N3
36518;0,211685277;N3
36518;0,211685277;N3
36518;0,211685277;N3
36518;0,211685277;N3
36518;0,211685277;N3
44564;0,211685277;N3
44564;0,211685277;N3
41265;0,087405917;N2
41265;0,087405917;N2
45496;0,087405917;N2
45496;0,087405917;N2
39584;0;N1
39584;0;N1
45062;0;N1
45062;0;N1
42029;0;N1
42029;0;N1
36850;0;N1
44417;0;N1
44417;0;N1
45258;0;N1
38081;0;N1
38081;0;N1
38044;0;N1
38044;0;N1
36850;0;N1
44921;0;N1
39504;0;N1
39504;0;N1
44417;0;N1
44417;0;N1
45258;0;N1
37633;0;N1
37633;0;N1
38352;0;N1
38352;0;N1
51428;0;N1
44921;0;N1
43050;0;N1
43050;0;N1
38033;0;N1
38033;0;N1
37842;0;N1
37842;0;N1
38553;0;N1
38553;0;N1
35732;0;N1
35732;0;N1
35955;0;N1
35955;0;N1
42029;0;N1
42029;0;N1
35591;0;N1
35591;0;N1
35889;0;N1
35889;0;N1
42029;0;N1
42029;0;N1
38374;0;N1
38374;0;N1
38432;0;N1
38432;0;N1
38432;0;N1
38432;0;N1
37015;0;N1
37015;0;N1
38374;0;N1
38374;0;N1
39585;7,179028756;N5
39585;7,179028756;N5
36526;7,179028756;N5
36526;7,179028756;N5
36526;7,179028756;N5
36526;7,179028756;N5
44418;7,179028756;N5
44418;7,179028756;N5
39508;7,179028756;N5
39508;7,179028756;N5
44418;7,179028756;N5
44418;7,179028756;N5
45266;7,179028756;N5
45266;7,179028756;N5
35610;7,179028756;N5
35610;7,179028756;N5
35956;7,179028756;N5
35956;7,179028756;N5
44922;7,179028756;N5
44922;7,179028756;N5
36526;7,179028756;N5
36526;7,179028756;N5
51344;7,179028756;N5
51344;7,179028756;N5
51344;7,179028756;N5
51344;7,179028756;N5
45063;3,696632787;N4
45063;3,696632787;N4
35733;3,696632787;N4
35733;3,696632787;N4
43083;3,696632787;N4
43083;3,696632787;N4
37846;3,696632787;N4
37846;3,696632787;N4
38360;3,696632787;N4
38360;3,696632787;N4
36861;3,696632787;N4
36861;3,696632787;N4
37021;1,691036524;N3
37021;1,691036524;N3
38377;1,691036524;N3
38377;1,691036524;N3
38377;1,691036524;N3
38377;1,691036524;N3
44751;1,691036524;N3
44751;1,691036524;N3
35890;1,691036524;N3
35890;1,691036524;N3
45531;1,691036524;N3
45531;1,691036524;N3
38558;1,691036524;N3
38558;1,691036524;N3
40022;0,589402064;N2
40022;0,589402064;N2
51894;0,589402064;N2
51894;0,589402064;N2
52043;0,589402064;N2
52043;0,589402064;N2
42030;0;N1
42030;0;N1
42030;0;N1
42030;0;N1
42030;0;N1
42030;0;N1
51936;0;N1
51936;0;N1
51431;0;N1
52051;0;N1
52051;0;N1
44951;0,246927647;N4
44951;0,246927647;N4
39197;0,10785806;N3
39197;0,10785806;N3
38258;0,10785806;N3
38258;0,10785806;N3
45064;0,034126117;N2
45064;0,034126117;N2
36479;0,034126117;N2
36479;0,034126117;N2
36479;0,034126117;N2
36479;0,034126117;N2
45155;0,034126117;N2
45155;0,034126117;N2
36479;0,034126117;N2
36479;0,034126117;N2
45155;0,034126117;N2
45155;0,034126117;N2
45267;0,034126117;N2
45267;0,034126117;N2
39590;0;N1
39590;0;N1
42031;0;N1
42031;0;N1
40696;0;N1
40696;0;N1
36872;0;N1
44759;0;N1
44759;0;N1
39805;0;N1
39513;0;N1
39513;0;N1
36872;0;N1
40667;0;N1
40667;0;N1
38666;0;N1
38666;0;N1
38362;0;N1
38362;0;N1
35968;0;N1
35968;0;N1
43101;0;N1
43101;0;N1
43527;0;N1
43527;0;N1
50866;0;N1
50866;0;N1
50766;0;N1
50766;0;N1
35737;0;N1
35737;0;N1
40295;0;N1
40295;0;N1
35667;0;N1
35667;0;N1
35893;0;N1
35893;0;N1
38381;0;N1
38381;0;N1
40696;0;N1
40696;0;N1
42031;0;N1
42031;0;N1
37024;0;N1
37024;0;N1
38381;0;N1
38381;0;N1
42031;0;N1
42031;0;N1
45500;1,783570522;N3
45500;1,783570522;N3
37902;1,783570522;N3
37902;1,783570522;N3
44984;1,783570522;N3
44984;1,783570522;N3
